id;label;shouldersSize;hipSize;dressLength;tissueFactor;laceworkFactor;flowerFactor;threadPrice;elasticPrice;nacrePrice;craftingPrice;cartonPrice
1_small;S;69-71;86-90;54;2;3.0;0.4;180;200;500;4000;500
2_medium;M;79-81;90-94;54;2;3.0;0.4;180;200;500;4000;500
3_large;L;81-83;94-98;56;2;3.5;0.4;180;300;500;4000;500
4_extra;XL;83-85;98-102;56;2;4.0;0.4;180;300;500;4000;500
5_extra2;2XL;86-88;102-106;58;3;4.0;0.6;180;400;500;4000;500
6_extra3;3XL;88-90;106-110;58;3;4.5;0.6;180;400;500;4000;500
7_extra4;4XL;90-92;110-114;60;3;5.0;0.6;180;500;500;4000;500
